gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,1,1,65,1,0,94.55,6078.75,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False
1,0,0,0,26,0,0,35.75,1022.5,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False
0,0,1,0,68,1,0,90.2,6297.65,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False
1,0,0,0,3,1,0,84.3,235.05,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False
0,0,1,0,49,0,0,40.65,2070.75,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False
0,1,1,0,64,1,0,97.0,6430.9,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False
1,0,0,0,7,1,0,64.3,445.95,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False
1,0,0,0,22,1,1,93.2,2157.3,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True
1,0,1,1,31,1,0,54.35,1647.0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True
0,0,0,0,6,0,1,47.95,305.1,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
1,0,0,1,1,1,1,19.2,19.2,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
0,0,0,0,6,1,1,79.05,434.5,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0,0,0,0,12,1,1,79.8,1001.2,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0,0,1,0,61,1,1,106.35,6751.35,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False
0,0,0,0,43,1,1,19.65,779.25,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
0,1,0,0,30,0,1,40.3,1172.95,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
1,0,0,0,22,1,1,55.15,1193.05,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False
0,0,1,1,52,1,0,23.05,1255.1,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
0,0,0,0,1,1,1,56.25,56.25,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False
0,0,0,0,57,1,0,94.7,5468.95,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,0,72,0,1,54.2,3937.45,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
0,0,0,0,42,1,1,103.8,4327.5,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False
0,0,1,1,15,1,0,19.8,272.95,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
1,0,1,1,64,1,0,81.05,5135.35,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
1,1,1,1,47,1,1,84.95,4018.05,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False
0,0,1,1,2,0,0,29.05,44.75,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False
1,0,0,0,1,1,0,20.2,20.2,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
1,0,0,0,1,1,1,50.7,50.7,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
0,0,1,1,72,1,1,113.1,8248.5,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False
0,0,1,1,32,1,0,89.6,2901.8,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False
0,1,1,0,1,1,1,74.45,74.45,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0,0,1,0,71,0,1,47.6,3377.8,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False
1,0,1,1,15,1,0,75.1,1151.55,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True
1,0,1,0,47,1,1,95.2,4563.0,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
1,0,1,1,34,1,1,97.7,3410.0,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False
1,0,1,1,50,1,1,103.85,5017.9,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False
1,0,0,0,10,1,0,20.0,198.7,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False
0,1,0,0,8,1,1,92.1,729.95,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
1,0,1,1,23,1,0,19.65,436.9,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True
1,0,0,0,7,1,1,74.9,490.55,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
1,0,1,0,23,1,0,84.25,1968.1,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
0,0,1,1,72,1,0,90.95,6652.45,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False
0,0,0,0,30,1,0,85.15,2555.9,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False
0,1,1,0,31,0,1,50.4,1580.1,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
1,0,0,0,3,1,0,107.95,313.6,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True
0,1,0,0,24,1,1,20.3,459.95,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True
1,0,0,0,62,1,1,74.3,4698.05,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
1,0,1,1,37,0,0,40.2,1448.8,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
